estacion,anio,NO2,lon,lat
GUAMANI,2005,15.023965,-78.551390,-0.330830
GUAMANI,2006,13.806338,-78.551390,-0.330830
GUAMANI,2007,15.052897,-78.551390,-0.330830
GUAMANI,2008,15.282890,-78.551390,-0.330830
GUAMANI,2009,15.497099,-78.551390,-0.330830
GUAMANI,2010,17.215663,-78.551390,-0.330830
GUAMANI,2011,16.898301,-78.551390,-0.330830
GUAMANI,2012,15.607386,-78.551390,-0.330830
GUAMANI,2013,19.743152,-78.551390,-0.330830
GUAMANI,2014,18.937291,-78.551390,-0.330830
GUAMANI,2015,20.027837,-78.551390,-0.330830
GUAMANI,2016,22.620409,-78.551390,-0.330830
GUAMANI,2017,22.395826,-78.551390,-0.330830
GUAMANI,2018,20.598304,-78.551390,-0.330830
GUAMANI,2019,16.427011,-78.551390,-0.330830
GUAMANI,2020,16.773362,-78.551390,-0.330830
GUAMANI,2021,19.557345,-78.551390,-0.330830
GUAMANI,2022,18.971934,-78.551390,-0.330830
GUAMANI,2023,16.249271,-78.551390,-0.330830
GUAMANI,2024,19.358303,-78.551390,-0.330830
GUAMANI,2025,15.560399,-78.551390,-0.330830
LOS CHILLOS,2016,23.669561,-78.460001,-0.299999
LOS CHILLOS,2017,19.513685,-78.460001,-0.299999
LOS CHILLOS,2018,20.196005,-78.460001,-0.299999
LOS CHILLOS,2019,17.816770,-78.460001,-0.299999
LOS CHILLOS,2020,15.697799,-78.460001,-0.299999
LOS CHILLOS,2021,16.568868,-78.460001,-0.299999
LOS CHILLOS,2022,18.388983,-78.460001,-0.299999
LOS CHILLOS,2023,23.042040,-78.460001,-0.299999
LOS CHILLOS,2024,22.501242,-78.460001,-0.299999
LOS CHILLOS,2025,16.886830,-78.460001,-0.299999
LOS CHILLOS,2026,23.872182,-78.460001,-0.299999
EL CAMAL,2004,39.619313,-78.510001,-0.250000
EL CAMAL,2005,37.513476,-78.510001,-0.250000
EL CAMAL,2006,31.467040,-78.510001,-0.250000
EL CAMAL,2007,30.495735,-78.510001,-0.250000
EL CAMAL,2008,29.820756,-78.510001,-0.250000
EL CAMAL,2009,30.092702,-78.510001,-0.250000
EL CAMAL,2010,31.714941,-78.510001,-0.250000
EL CAMAL,2011,30.280311,-78.510001,-0.250000
EL CAMAL,2012,28.551277,-78.510001,-0.250000
EL CAMAL,2013,31.313475,-78.510001,-0.250000
EL CAMAL,2014,29.489341,-78.510001,-0.250000
EL CAMAL,2016,39.016621,-78.510001,-0.250000
EL CAMAL,2017,31.725995,-78.510001,-0.250000
EL CAMAL,2018,30.098825,-78.510001,-0.250000
EL CAMAL,2019,28.291877,-78.510001,-0.250000
EL CAMAL,2020,23.182340,-78.510001,-0.250000
EL CAMAL,2021,25.688007,-78.510001,-0.250000
EL CAMAL,2022,24.602762,-78.510001,-0.250000
EL CAMAL,2024,26.423793,-78.510001,-0.250000
