Ranking,PARROQUIA,NO2_actual,NO2_E1,NO2_E2,NO2_2027,NO2_insitu,delta_E1_pct,delta_E2_pct,delta_proy_pct
1,SAN BARTOLO,11.286507,11.286507,11.286507,12.415158,,0.000000,0.000000,10.000000
2,CALDERON,11.280935,11.290880,11.302245,12.409028,18.573392,0.088158,0.188909,10.000000
3,SOLANDA,11.181640,11.181641,11.181641,12.299805,,0.000000,0.000000,10.000000
4,LA ARGELIA,11.100647,11.100950,11.101296,12.210711,,0.002731,0.005852,10.000000
5,LA FERROVIARIA,11.078420,11.078420,11.078420,12.186262,30.545251,0.000001,0.000000,10.000000
6,CHIMBACALLE,11.024460,11.024460,11.024460,12.126906,,0.000000,0.000000,10.000000
7,LA MAGDALENA,10.994326,10.994326,10.994326,12.093759,,0.000000,0.000000,10.000000
8,CENTRO HISTORICO,10.986265,10.986276,10.986287,12.084892,28.000208,0.000094,0.000201,10.000000
9,MARISCAL SUCRE,10.913717,10.913717,10.913717,12.005088,,0.000000,0.000000,10.000000
10,LLANO CHICO,10.908544,10.909387,10.910350,11.999398,,0.007725,0.016552,10.000000
11,ZAMBIZA,10.890471,10.902100,10.915390,11.979519,,0.106777,0.228808,10.000000
12,JIPIJAPA,10.860398,10.860496,10.860608,11.946438,,0.000900,0.001928,10.000000
13,QUITUMBE,10.833463,10.835240,10.837270,11.916810,,0.016397,0.035135,10.000000
14,KENNEDY,10.828860,10.829117,10.829410,11.911746,,0.002373,0.005084,10.000000
15,PONCEANO,10.773961,10.773961,10.773961,11.851357,21.448422,0.000000,0.000000,10.000000
16,COTOCOLLAO,10.749643,10.749643,10.749643,11.824608,,0.000000,0.000000,10.000000
17,LA CONCEPCION,10.728593,10.730169,10.731971,11.801452,,0.014695,0.031488,10.000000
18,LA LIBERTAD,10.718100,10.718100,10.718100,11.789910,,0.000000,0.000000,10.000000
19,PUELLARO,10.682341,10.715019,10.752366,11.750575,,0.305908,0.655517,10.000000
20,COMITE DEL PUEBLO,10.677888,10.678000,10.678129,11.745676,,0.001055,0.002260,10.000000
21,IÑAQUITO,10.662764,10.668862,10.675831,11.729040,,0.057189,0.122546,10.000000
22,CHAVEZPAMBA,10.659833,10.672986,10.688018,11.725816,,0.123389,0.264405,10.000000
23,RUMIPAMBA,10.634369,10.664082,10.698040,11.697806,27.847604,0.279408,0.598731,10.000000
24,PERUCHO,10.620651,10.645685,10.674295,11.682716,,0.235711,0.505093,10.000000
25,NAYON,10.617939,10.622441,10.627587,11.679733,,0.042402,0.090860,10.000000
26,SAN ANTONIO,10.616960,10.665391,10.720741,11.678656,,0.456168,0.977502,10.000000
27,TURUBAMBA,10.612272,10.614821,10.617734,11.673499,,0.024020,0.051471,10.000000
28,CONOCOTO,10.602177,10.604551,10.607265,11.662394,,0.022397,0.047992,10.000000
29,POMASQUI,10.586629,10.607194,10.630696,11.645292,,0.194252,0.416253,10.000000
30,CUMBAYA,10.584485,10.586318,10.588412,11.642934,,0.017314,0.037101,10.000000
31,SAN ISIDRO DEL INCA,10.570850,10.572222,10.573789,11.627935,,0.012975,0.027802,10.000000
32,TUMBACO,10.566219,10.573428,10.581666,11.622841,14.492902,0.068221,0.146187,10.000000
33,BELISARIO QUEVEDO,10.534609,10.567168,10.604379,11.588070,,0.309071,0.662294,10.000000
34,PUEMBO,10.521379,10.531478,10.543020,11.573516,,0.095989,0.205690,10.000000
35,CARCELEN,10.444350,10.446428,10.448803,11.488785,,0.019896,0.042633,10.000000
36,ITCHIMBIA,10.433299,10.440089,10.447849,11.476629,,0.065079,0.139453,10.000000
37,PUENGASI,10.332800,10.337863,10.343651,11.366079,,0.049008,0.105017,10.000000
38,CHILIBULO,10.291537,10.299490,10.308579,11.320691,,0.077275,0.165589,10.000000
39,TABABELA,10.274929,10.286780,10.300324,11.302422,,0.115335,0.247146,10.000000
40,COCHAPAMBA,10.254941,10.298570,10.348431,11.280435,,0.425443,0.911662,10.000000
41,GUAYLLABAMBA,10.236899,10.256096,10.278036,11.260589,,0.187532,0.401854,10.000000
42,GUANGOPOLO,10.196270,10.210138,10.225987,11.215897,,0.136013,0.291454,10.000000
43,SAN JUAN,10.128468,10.165748,10.208353,11.141315,,0.368066,0.788712,10.000000
44,LA MERCED,10.030648,10.037415,10.045149,11.033713,,0.067465,0.144567,10.000000
45,ALANGASI,10.018754,10.030661,10.044268,11.020630,,0.118843,0.254663,10.000000
46,GUAMANI,9.983897,9.992734,10.002833,10.982286,17.695475,0.088514,0.189673,10.000000
47,EL CONDADO,9.891718,9.925954,9.965082,10.880890,,0.346112,0.741667,10.000000
48,AMAGUAÑA,9.821813,9.845257,9.872050,10.803994,,0.238694,0.511486,10.000000
49,LA MENA,9.778393,9.783924,9.790246,10.756232,,0.056569,0.121218,10.000000
50,LA ECUATORIANA,9.681344,9.729848,9.785281,10.649478,,0.501006,1.073583,10.000000
51,CHILLOGALLO,9.670923,9.690932,9.713799,10.638015,,0.206897,0.443350,10.000000
52,SAN JOSE DE MINAS,9.586008,9.751014,9.939593,10.544609,,1.721326,3.688554,10.000000
53,PACTO,9.535138,9.644595,9.769689,10.488652,,1.147936,2.459863,10.000000
54,ATAHUALPA /HABASPAMBA,9.511192,9.649837,9.808288,10.462311,,1.457702,3.123645,10.000000
55,NANEGALITO,9.336787,9.418789,9.512505,10.270465,,0.878270,1.882005,10.000000
56,NANEGAL,9.206958,9.328575,9.467567,10.127653,,1.320931,2.830566,10.000000
57,CALACALI,9.142019,9.290399,9.459977,10.056220,,1.623063,3.477992,10.000000
58,GUALEA,9.139908,9.239690,9.353727,10.053899,,1.091718,2.339394,10.000000
59,NONO,8.979721,9.114197,9.267883,9.877693,,1.497550,3.209035,10.000000
60,YARUQUI,8.917501,8.957012,9.002167,9.809252,,0.443067,0.949429,10.000000
61,QUINCHE,8.638300,8.700352,8.771267,9.502130,,0.718327,1.539272,10.000000
62,CHECA,8.318759,8.395366,8.482917,9.150635,,0.920894,1.973344,10.000000
63,PIFO,7.754715,7.925950,8.121646,8.530186,,2.208137,4.731722,10.000000
64,LLOA,7.427201,7.864134,8.363486,8.169921,,5.882876,12.606161,10.000000
65,PINTAG,6.819034,7.151517,7.531497,7.500937,,4.875809,10.448160,10.000000
